Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
7,16,0,0,3,13,2,1,15,1,52,49,0,383,2,1.71,14.66,158,8,0.05,8,38,2.29,0,1,normal
4,13,0,0,3,20,3,0,7,2,43,72,4,109,0,2.02,13.35,151.5,3,0.15,1.5,40,3.25,0,0,normal
2,10,0,1,2,11,0,0,0,3,31,52,1,443,1,3.02,13.76,147.3,10,0.17,-2.7,24,5,0,0,normal
9,16,0,0,1,19,0,0,2,2,55,65,2,422,0,2.58,15.18,153,1,0.04,3,44,1.78,0,0,normal
3,7,0,1,0,18,2,0,14,1,35,84,1,474,1,3.68,13.66,149.3,14,0.12,-0.7,31,2.33,0,0,normal
6,10,0,1,2,16,1,0,4,3,43,79,0,232,5,1.93,15.2,156.4,12,0.01,6.4,34,1.67,0,0,normal
5,13,1,4,1,20,1,0,15,3,43,30,0,478,3,3.08,14.77,148.7,4,0.17,-1.3,44,2.6,0,0,normal
5,8,0,0,0,15,1,0,8,5,54,71,1,399,1,3.22,14.69,156,12,0.12,6,29,1.6,0,0,normal
6,11,0,1,1,23,2,0,11,2,31,59,1,212,1,1.87,15.88,150.7,8,0.07,0.7,43,1.83,0,0,normal
0,5,0,0,4,22,0,0,6,1,47,44,0,223,0,1.8,14.23,151.4,1,0.08,1.4,27,0,0,0,normal
4,11,1,1,2,19,1,1,0,1,62,79,2,279,3,1.06,13.98,153.7,4,0.14,3.7,37,2.75,0,0,normal
7,6,1,2,4,16,4,0,11,4,45,65,2,472,2,2.17,15.22,161.6,14,0.17,11.6,36,0.86,0,0,normal
4,4,0,3,1,13,0,0,4,1,44,86,3,304,3,1.8,15.43,161.9,3,0.09,11.9,24,1,0,0,normal
2,10,1,2,4,23,3,1,15,1,49,50,3,247,2,3.15,14.33,141.4,7,0.1,-8.6,41,5,0,0,normal
3,16,0,1,2,23,3,0,14,9,38,73,0,156,0,3.77,13.9,156.4,13,0.08,6.4,46,5.33,0,0,normal
3,7,0,0,2,21,2,0,7,2,62,71,0,140,2,1.48,13.26,151.7,6,0.11,1.7,33,2.33,0,0,normal
6,12,0,2,2,18,1,1,7,4,43,68,2,302,1,2.53,11.01,157.4,4,0.05,7.4,39,2,0,0,normal
1,12,0,1,0,19,1,0,17,2,36,77,1,263,1,1.5,15.54,145.8,5,0.05,-4.2,34,12,0,0,normal
4,5,1,2,1,19,5,0,6,4,32,80,1,213,1,2,13.77,156.6,3,0.03,6.6,36,1.25,0,0,normal
2,5,0,0,2,24,1,0,3,2,32,55,2,127,2,2.15,15.54,142.4,8,0.11,-7.6,32,2.5,0,0,normal
6,14,0,0,0,23,2,0,0,4,59,82,0,160,1,2.1,14.23,154.3,2,0.07,4.3,45,2.33,0,1,normal
9,18,0,3,2,12,1,0,3,2,37,93,0,176,2,1.59,11.45,139.4,6,0.17,-10.6,43,2,0,0,normal
3,9,1,3,3,17,0,0,11,4,53,48,0,103,2,3.88,12.24,148.5,6,0.11,-1.5,33,3,0,0,normal
3,8,1,0,2,18,2,0,3,4,38,96,2,491,2,1.45,12.56,137.3,7,0.12,-12.7,32,2.67,0,0,normal
7,9,0,1,3,25,1,0,19,2,42,47,2,441,1,2.24,16.08,157.6,5,0.11,7.6,43,1.29,0,0,normal
7,7,1,0,1,17,0,0,2,5,44,66,1,162,0,1.85,14.55,160.8,7,0.17,10.8,32,1,0,0,normal
11,8,0,0,0,18,1,0,13,1,46,86,3,213,3,3.38,14.07,158,13,0.1,8,38,0.73,0,0,normal
4,13,0,1,0,13,2,0,10,2,66,56,2,488,0,1.22,13.52,150.6,1,0.17,0.6,33,3.25,0,0,normal
6,6,1,1,1,21,1,0,17,2,68,96,0,122,2,3.58,16.04,154.5,2,0.17,4.5,36,1,0,0,normal
6,9,0,2,3,17,2,0,3,5,38,89,0,292,2,1.39,16.13,150.7,7,0.09,0.7,36,1.5,0,0,normal
2,7,0,1,2,22,0,1,18,8,66,86,1,338,1,2.36,14.5,147.4,4,0.11,-2.6,32,3.5,0,0,normal
5,9,0,1,2,30,0,1,2,6,53,36,0,110,1,3.57,13.17,141.2,1,0.15,-8.8,45,1.8,0,0,normal
5,11,0,0,1,18,3,0,2,4,31,84,1,218,7,2.6,16.07,157.5,12,0.1,7.5,37,2.2,0,0,normal
2,19,1,1,0,22,2,0,3,4,52,96,2,349,3,2.09,16.16,158.4,1,0.07,8.4,47,9.5,0,0,normal
5,12,0,2,2,13,0,1,10,3,49,77,0,122,3,2.56,16.25,156.2,11,0.12,6.2,32,2.4,0,0,normal
8,9,0,0,2,21,3,0,2,4,65,81,1,370,1,1.67,15.25,148.3,8,0.01,-1.7,41,1.12,0,0,normal
10,11,1,2,1,21,1,1,8,0,63,89,1,236,2,1.65,19.43,149.1,3,0.1,-0.9,46,1.1,0,0,normal
8,7,0,1,1,16,3,0,10,2,56,40,1,113,3,2.32,13.18,150.3,8,0.07,0.3,35,0.88,0,0,normal
3,9,0,1,1,23,3,0,15,2,60,79,0,253,3,2.06,15.73,159.5,8,0.09,9.5,39,3,0,0,normal
3,15,1,0,1,17,3,1,18,4,36,90,0,450,2,1.77,11.47,155.7,14,0.14,5.7,39,5,0,1,normal
5,10,0,1,2,11,2,0,9,3,30,55,3,235,2,3.48,14.42,158.7,3,0.14,8.7,29,2,0,0,normal
7,9,1,0,3,27,4,0,1,8,50,81,0,409,4,3.56,15.03,151.1,1,0.1,1.1,48,1.29,0,0,normal
9,12,0,1,4,20,1,0,10,6,53,47,1,134,1,3.62,13.02,143.8,8,0.11,-6.2,43,1.33,0,0,normal
8,6,1,2,3,23,4,0,19,4,38,85,2,298,3,3.19,15.56,156.9,5,0.13,6.9,44,0.75,0,0,normal
4,10,0,1,1,16,2,0,0,6,32,60,3,259,3,1.2,16.91,149.8,2,0.09,-0.2,33,2.5,0,0,normal
3,13,0,1,0,19,1,0,3,4,30,70,0,204,1,2.24,14.73,150,2,-0.01,0,37,4.33,0,0,normal
5,11,0,1,3,21,2,0,14,1,66,66,1,384,2,1.46,13.23,156.4,9,0.09,6.4,40,2.2,0,0,normal
3,7,0,4,3,19,0,0,12,1,50,69,1,133,1,2.47,14.13,155.1,0,0.15,5.1,33,2.33,0,0,normal
10,7,0,1,1,14,4,0,0,5,36,65,1,455,3,1.48,13.51,156.5,10,0.11,6.5,36,0.7,0,0,normal
3,10,0,1,4,19,2,0,0,2,40,43,0,228,0,2.69,15.05,161.8,7,0.14,11.8,35,3.33,0,0,normal
9,5,1,2,2,19,2,0,4,1,33,81,0,137,1,1,15.05,156.4,6,0.1,6.4,38,0.56,0,0,normal
5,7,1,2,3,19,2,0,10,2,61,43,2,318,2,2.05,13.36,157.6,12,0.1,7.6,36,1.4,0,1,normal
5,7,0,2,2,29,4,1,13,3,40,81,2,163,2,3.25,12.59,161.2,12,0.18,11.2,47,1.4,0,0,normal
7,5,0,1,1,24,4,0,2,2,49,34,3,360,4,1.67,12.9,159.5,14,0.06,9.5,41,0.71,0,0,normal
4,9,0,0,0,15,4,0,19,5,35,63,1,232,3,1.41,15.31,144.8,10,0.11,-5.2,32,2.25,0,0,normal
5,14,1,2,2,21,1,0,9,3,46,34,0,196,1,3.01,13.26,154,12,0.08,4,44,2.8,0,0,normal
6,11,0,0,0,19,0,0,16,1,45,61,1,433,0,2.89,15.46,142.5,4,0.1,-7.5,36,1.83,0,0,normal
6,14,0,0,2,29,1,1,18,4,49,78,0,485,2,1.7,17.66,152.6,5,0.06,2.6,50,2.33,0,0,normal
5,13,0,0,2,13,3,0,1,3,64,32,2,187,1,3.03,14.68,153.2,7,0.12,3.2,34,2.6,0,0,normal
5,13,1,2,4,19,3,0,14,4,60,39,2,115,2,2.33,14.86,147.9,10,0.12,-2.1,43,2.6,0,0,normal
3,9,0,1,1,19,3,0,14,5,46,32,1,186,3,2.88,15.42,151.4,2,0.12,1.4,35,3,0,0,normal
5,7,1,0,2,18,1,1,1,5,36,63,0,176,1,1.65,18.14,149.9,6,0.16,-0.1,32,1.4,0,0,normal
4,13,0,1,1,11,1,0,16,2,46,76,1,335,2,2.27,15.66,150.8,11,0.11,0.8,30,3.25,0,0,normal
5,14,0,3,4,19,1,0,11,5,59,48,1,389,1,2.36,16.16,143.9,1,0,-6.1,42,2.8,0,0,normal
5,9,0,2,0,18,1,0,8,5,45,67,2,446,1,2.94,13.33,136.1,1,0.18,-13.9,35,1.8,0,0,normal
7,16,1,0,2,18,1,0,19,1,55,64,2,274,1,2.67,11.54,159.3,12,0.17,9.3,43,2.29,0,0,normal
7,11,1,0,3,23,1,0,4,2,47,58,0,165,2,2.57,15.25,149.3,12,0.16,-0.7,43,1.57,0,1,normal
6,12,0,2,3,27,3,1,4,3,54,65,0,139,4,1.66,15.27,145.3,9,0.13,-4.7,50,2,0,0,normal
6,5,0,0,1,19,2,1,1,4,37,97,0,488,2,1.59,15.1,160.2,11,0.07,10.2,32,0.83,0,0,normal
5,14,0,1,1,15,3,1,7,0,40,56,1,433,0,1.63,14.2,155.6,1,0.04,5.6,38,2.8,0,0,normal
5,8,0,1,2,20,1,0,13,2,67,88,0,167,0,3.33,12.98,146.4,8,0.12,-3.6,35,1.6,0,0,normal
5,11,1,1,3,24,4,0,16,3,55,42,1,421,4,2.37,11.27,143.4,5,0.07,-6.6,46,2.2,0,0,normal
5,10,0,1,1,24,1,0,7,4,34,47,1,101,2,3.17,11.21,150.6,10,0.14,0.6,41,2,0,0,normal
6,10,0,0,2,25,3,0,4,4,54,38,4,494,1,3.11,12.17,154.3,8,0.09,4.3,44,1.67,0,0,normal
5,9,1,0,2,22,2,0,3,3,51,85,3,191,0,2.16,13.67,154.3,12,0.1,4.3,39,1.8,0,0,normal
2,7,0,0,2,20,0,1,13,0,68,63,1,357,3,1.66,14.82,149.3,13,-0.01,-0.7,29,3.5,0,0,normal
2,10,0,0,2,16,3,0,9,2,47,34,0,447,1,1.18,14.08,154.7,10,0.17,4.7,31,5,0,0,normal
4,9,1,1,4,19,2,0,6,2,54,53,2,358,4,1.3,11.93,158.3,10,0.1,8.3,36,2.25,0,0,normal
6,16,1,0,1,18,1,1,17,3,58,95,2,359,5,2.68,12.03,159.1,0,0.08,9.1,42,2.67,0,0,normal
9,20,0,2,4,13,3,1,4,4,39,48,0,329,1,1.48,13.43,150.5,12,0.13,0.5,47,2.22,0,0,normal
3,13,0,1,3,16,2,0,12,4,45,57,1,249,2,2.8,13.09,160.6,12,-0.04,10.6,35,4.33,0,0,normal
11,10,0,2,0,14,2,1,7,4,51,95,0,353,2,1.33,15.65,147.1,11,0.16,-2.9,39,0.91,0,0,normal
3,10,1,2,2,16,3,1,10,4,66,88,2,422,1,2.13,17.54,150.1,1,0.06,0.1,35,3.33,0,0,normal
2,7,1,1,0,19,1,0,19,0,34,72,1,238,3,2.51,14.89,155.6,11,0.12,5.6,31,3.5,0,0,normal
6,11,0,1,2,14,3,0,2,3,45,72,1,104,2,1.29,17.85,141.2,1,0.1,-8.8,35,1.83,0,0,normal
5,9,1,0,0,15,1,0,10,6,41,51,2,499,0,1.69,13.19,151.8,2,0.09,1.8,31,1.8,0,0,normal
5,10,0,1,2,22,1,0,3,5,38,73,0,161,3,1.77,15.48,142,13,0.11,-8,39,2,0,0,normal
4,12,0,0,1,21,3,0,15,2,60,68,0,315,3,3.76,13.76,155.1,9,0.13,5.1,40,3,0,0,normal
4,7,1,0,3,19,2,0,1,3,31,89,1,169,5,2.57,14.79,156.2,11,0.05,6.2,33,1.75,0,0,normal
9,17,1,1,2,22,4,0,0,2,44,30,1,415,0,2.45,13.32,160.4,2,0.15,10.4,54,1.89,0,0,normal
6,11,0,0,1,17,2,0,11,3,49,37,2,243,3,1.53,15.08,152.3,1,0.08,2.3,36,1.83,0,0,normal
2,12,0,0,1,18,0,0,9,2,67,57,0,182,1,2,15.62,141.8,10,0.05,-8.2,32,6,0,0,normal
5,12,0,0,2,18,1,0,6,6,59,30,0,474,1,2.12,14.15,159.4,12,0.11,9.4,36,2.4,0,0,normal
3,7,0,0,2,25,2,0,19,3,33,46,1,265,2,2.98,13.42,161.4,8,0.15,11.4,37,2.33,0,0,normal
9,8,0,1,2,21,2,0,18,3,52,49,0,312,3,1.86,14.63,152.1,6,-0.03,2.1,41,0.89,0,0,normal
3,14,0,1,0,22,6,0,13,1,55,58,3,267,1,2.63,14.96,149.9,6,0.07,-0.1,46,4.67,0,0,normal
5,12,0,1,1,16,1,0,3,2,61,43,0,448,2,1.47,14.54,147.1,0,0.05,-2.9,35,2.4,0,0,normal
5,13,0,2,2,19,3,0,10,6,30,58,4,366,1,1.38,13.76,150.8,8,0.03,0.8,42,2.6,0,0,normal
3,10,0,0,2,22,0,1,9,2,45,83,1,186,2,1.9,18.52,142.7,12,0.07,-7.3,35,3.33,0,0,normal
5,14,0,0,3,20,4,0,3,3,56,66,0,407,2,2.18,16.74,153.7,8,0.06,3.7,43,2.8,0,0,normal
2,10,0,0,0,27,1,1,6,3,50,81,0,154,1,2.37,13.37,156.1,0,0.15,6.1,40,5,0,0,normal
7,9,0,0,4,18,3,0,18,5,39,96,0,185,1,2.02,13.74,159.7,9,0.13,9.7,37,1.29,0,0,normal
5,9,1,0,1,20,2,0,17,1,46,95,1,345,2,2.49,13.33,150.3,3,0.1,0.3,37,1.8,0,0,normal
5,16,0,0,3,18,2,0,3,3,59,50,3,158,1,3.21,15.68,140.2,4,0.08,-9.8,41,3.2,0,0,normal
2,6,0,3,1,18,3,0,0,3,39,54,0,104,2,4.13,15.35,158.6,2,0.1,8.6,32,3,0,0,normal
5,7,1,3,0,23,2,0,13,6,62,34,3,430,1,2.75,15.31,161.6,8,0.1,11.6,41,1.4,0,0,normal
4,8,0,1,0,22,3,0,7,2,30,44,0,232,1,1.32,15.7,150.6,2,0.05,0.6,38,2,0,0,normal
5,6,1,0,0,21,2,0,12,2,46,46,1,127,6,2.66,14.09,141.3,13,0.09,-8.7,35,1.2,0,0,normal
4,7,0,1,3,22,2,0,14,2,32,66,2,456,1,2.31,10.97,141.3,4,0.08,-8.7,36,1.75,0,0,normal
4,6,0,1,4,30,1,1,19,3,45,76,2,134,1,3.78,13.71,156.6,14,0.1,6.6,42,1.5,0,0,normal
6,15,0,1,0,18,0,1,1,2,49,55,0,178,2,1.75,15.14,149.9,8,0.07,-0.1,40,2.5,0,0,normal
6,6,0,0,1,26,0,1,0,1,46,51,0,274,1,1.19,15.19,133.3,2,0.12,-16.7,38,1,0,0,normal
4,9,1,3,2,23,1,0,6,3,69,31,2,312,5,1.76,13.95,156.5,6,0.11,6.5,41,2.25,0,0,normal
6,4,0,0,1,25,1,0,7,1,52,95,3,231,4,3.18,17.91,156,4,0.12,6,36,0.67,0,0,normal
5,8,1,0,5,13,1,0,11,6,33,60,0,287,3,2.06,13.1,150.3,12,0.17,0.3,28,1.6,0,0,normal
5,11,1,1,1,26,1,0,18,2,45,34,2,361,3,1.53,16.25,153.4,4,0.1,3.4,45,2.2,0,0,normal
5,18,0,1,2,16,0,0,11,1,32,73,1,156,0,2.4,16.04,144,9,0.04,-6,40,3.6,0,0,normal
14,12,0,0,0,16,4,0,18,0,39,39,0,160,1,2.84,13.86,153.3,6,0.1,3.3,46,0.86,0,0,normal
5,7,0,2,0,20,1,0,9,4,61,59,0,371,2,2.2,15.03,161.3,6,0.03,11.3,35,1.4,0,0,normal
3,10,1,2,1,21,1,0,10,3,38,80,1,279,1,2.32,14.26,156.1,1,0.11,6.1,38,3.33,0,0,normal
6,7,0,1,1,17,0,0,4,3,40,58,2,322,1,3.19,11.74,134.7,5,0.11,-15.3,31,1.17,0,0,normal
4,8,0,0,1,20,6,0,2,2,31,83,0,216,3,1.64,12.75,159.6,2,0.11,9.6,38,2,0,0,normal
7,6,0,0,2,22,1,0,1,3,56,39,2,324,2,2.71,16.21,148.8,3,0.09,-1.2,36,0.86,0,0,normal
3,11,0,1,2,20,2,0,13,3,39,80,0,440,2,2.81,14.78,142.7,9,0.12,-7.3,37,3.67,0,0,normal
3,9,0,0,1,22,1,0,16,3,46,48,0,306,4,3,13.57,144.7,2,0.09,-5.3,35,3,0,0,normal
7,10,0,1,1,13,0,1,13,3,34,54,2,303,2,3.04,15.61,149.9,2,0.11,-0.1,31,1.43,0,0,normal
5,10,1,1,3,16,1,0,6,4,48,63,2,102,2,2.45,9.94,150.6,7,0.16,0.6,34,2,0,0,normal
3,8,0,1,4,21,4,0,15,3,67,97,1,308,1,3.66,15.7,153.1,13,0.07,3.1,37,2.67,0,0,normal
3,14,0,1,1,25,1,0,11,0,30,30,2,431,0,2.12,14.38,156,1,0.08,6,44,4.67,0,0,normal
5,10,1,1,1,22,2,0,3,4,45,46,1,418,4,1.87,17.01,146.7,11,0.09,-3.3,41,2,0,0,normal
3,10,1,2,3,19,0,0,17,4,67,69,1,410,1,1.29,16.65,153.2,12,0.05,3.2,35,3.33,0,0,normal
6,10,0,1,2,21,0,1,5,1,54,98,1,293,1,2.89,12.11,153.5,9,0.06,3.5,38,1.67,0,0,normal
5,14,1,0,2,13,1,1,17,5,58,57,0,200,2,3.13,13.73,158.4,10,0,8.4,34,2.8,0,0,normal
1,9,0,2,3,18,4,0,13,5,48,53,2,360,2,3.92,15.64,134.8,11,0.07,-15.2,34,9,0,0,normal
5,9,0,3,4,16,0,0,13,2,58,66,2,485,5,3.85,15.15,142.1,12,0.09,-7.9,33,1.8,0,0,normal
5,8,1,1,2,21,0,0,0,7,55,46,0,157,3,1.85,15.37,143,14,0.01,-7,36,1.6,0,0,normal
7,15,0,3,1,17,1,0,1,2,53,95,2,148,6,2.65,14.17,147,2,0.09,-3,43,2.14,0,0,normal
6,10,0,1,1,26,6,0,8,6,38,46,1,277,5,2.52,14.65,151.3,7,0.14,1.3,49,1.67,0,0,normal
3,14,0,2,3,23,4,0,5,3,59,93,2,200,1,1.45,15.71,145.3,9,0.08,-4.7,46,4.67,0,0,normal
2,6,0,1,0,22,1,0,0,3,32,35,2,475,1,1,11.69,157.6,9,0.13,7.6,32,3,0,0,normal
4,7,0,0,3,28,3,0,2,7,41,92,2,252,1,2.03,17.4,137.6,13,0.11,-12.4,42,1.75,0,0,normal
2,9,1,2,2,21,2,0,3,2,33,41,1,187,1,3.96,16.24,146.7,2,0.13,-3.3,37,4.5,0,0,normal
5,7,0,0,2,20,2,0,0,2,68,57,1,258,2,1.58,14.21,149.7,4,0.16,-0.3,34,1.4,0,0,normal
2,8,1,0,2,20,1,0,12,4,49,51,0,198,0,2.51,12.33,148.9,11,0.04,-1.1,32,4,0,0,normal
3,8,0,0,2,20,3,0,6,4,42,35,4,343,2,2.55,15.14,148.4,12,0.14,-1.6,34,2.67,0,0,normal
8,7,0,1,2,29,0,0,13,5,31,65,1,356,4,2.34,14.82,160.7,9,0.05,10.7,45,0.88,0,0,normal
7,12,1,1,4,19,3,0,0,3,59,35,1,238,2,2.76,14.37,145.7,10,0.16,-4.3,43,1.71,0,0,normal
6,10,0,0,1,8,1,0,14,2,64,99,1,280,1,1.39,13.52,159.4,8,0.1,9.4,25,1.67,0,0,normal
3,13,1,3,3,14,0,0,13,2,38,71,3,214,3,2.15,16.11,141.2,13,0.09,-8.8,34,4.33,0,1,normal
7,7,1,2,2,21,1,0,12,3,52,47,1,466,0,1.95,15.96,143.3,13,0.13,-6.7,39,1,0,0,normal
6,11,0,0,4,12,2,0,3,3,36,35,0,345,1,1.54,14.21,147.6,6,0.16,-2.4,31,1.83,0,0,normal
6,9,0,3,2,18,1,0,17,2,33,33,1,440,2,3.02,13.62,153.6,7,0,3.6,37,1.5,0,0,normal
6,10,0,2,4,20,1,1,5,5,69,87,2,314,1,2.43,13.56,158.7,13,0.09,8.7,39,1.67,0,0,normal
5,8,0,2,3,19,2,0,10,3,65,45,0,244,1,1.43,13.89,151.5,3,0.08,1.5,36,1.6,0,0,normal
9,11,1,0,4,21,0,0,3,0,31,48,0,361,2,2.62,12.89,145.7,9,0.11,-4.3,42,1.22,0,0,normal
5,9,0,0,4,27,3,0,1,3,64,56,1,237,3,1.83,15.05,161.7,13,0.16,11.7,44,1.8,0,0,normal
2,9,0,1,2,19,1,0,2,3,56,95,0,341,3,3.33,15.46,141.9,10,0.03,-8.1,32,4.5,0,0,normal
5,12,1,2,0,23,0,0,12,3,34,93,2,119,0,3.28,14.17,148.4,3,0.05,-1.6,43,2.4,0,0,normal
5,4,0,0,2,19,4,0,6,3,40,83,0,288,0,3.18,12.19,149.6,3,0.06,-0.4,32,0.8,0,0,normal
5,7,0,0,5,21,0,0,0,3,40,64,1,344,4,3.18,14.78,161.8,7,0.05,11.8,33,1.4,0,0,normal
6,8,0,0,3,20,4,0,1,5,45,38,0,345,0,1.1,14.06,146.2,11,0.16,-3.8,38,1.33,0,0,normal
5,7,0,1,3,14,1,0,12,3,67,52,2,177,1,1.58,16.21,149.3,5,0.02,-0.7,28,1.4,0,0,normal
4,9,1,3,1,18,0,1,4,7,47,62,3,114,3,2.9,13.46,141,11,0.03,-9,35,2.25,0,0,normal
4,8,0,0,3,23,0,0,11,2,30,61,0,472,4,1.32,15.19,156.3,9,0.07,6.3,35,2,0,0,normal
2,16,0,0,2,23,2,0,0,6,34,62,1,488,1,1.67,13.86,132.2,9,0.08,-17.8,43,8,0,0,normal
8,8,0,0,1,15,3,1,0,4,56,88,3,498,0,2.39,13.24,151.7,14,0.07,1.7,34,1,0,0,normal
5,7,0,1,4,20,4,0,15,2,60,50,0,104,3,2.32,13.91,159.5,8,0.09,9.5,37,1.4,0,0,normal
7,10,1,2,1,22,1,0,6,3,58,68,1,442,2,2.96,13.51,143.8,13,0.14,-6.2,43,1.43,0,0,normal
1,11,1,1,1,16,0,0,14,3,51,31,0,220,1,1.12,15.65,153.4,1,0.07,3.4,30,11,0,0,normal
6,13,0,2,1,23,0,0,11,2,51,87,2,484,2,4.02,11.98,144.4,6,0.06,-5.6,44,2.17,0,0,normal
7,11,1,2,1,21,1,0,9,1,39,63,2,469,3,2.27,10.89,156.5,4,0.14,6.5,43,1.57,0,1,normal
6,18,1,3,3,15,5,0,19,2,35,61,0,211,2,3.11,14.25,161.4,2,0.18,11.4,48,3,0,0,normal
7,13,0,2,1,18,2,0,5,3,58,94,0,112,0,2.15,14.81,148.8,1,0.07,-1.2,42,1.86,0,0,normal
2,10,1,0,3,18,5,1,18,3,59,39,0,279,2,1.44,17.53,149.7,0,0.09,-0.3,36,5,0,0,normal
3,11,0,1,1,21,3,1,18,2,65,52,0,250,1,1.5,17.17,160.8,10,0.08,10.8,39,3.67,0,0,normal
8,8,1,0,3,23,2,0,11,1,44,38,2,162,0,2.49,13.66,149.9,11,0.06,-0.1,42,1,0,0,normal
6,5,0,3,0,24,4,0,13,3,68,83,2,272,2,2.86,14.58,154.9,4,0.09,4.9,42,0.83,0,1,normal
7,12,1,1,2,13,0,0,8,7,33,44,1,441,3,1.7,14.8,153.9,1,0.06,3.9,34,1.71,0,0,normal
9,7,0,2,2,18,1,1,14,1,47,68,3,296,2,1.82,15.69,158.4,13,0.13,8.4,37,0.78,0,0,normal
6,10,0,2,1,17,0,0,16,4,50,72,2,412,1,3.24,14.18,158.7,2,0.15,8.7,35,1.67,0,0,normal
7,11,1,3,2,20,2,0,5,4,64,43,1,456,0,1.26,12.58,154,3,-0.02,4,44,1.57,0,0,normal
7,7,0,2,3,15,3,0,4,0,40,36,1,205,3,2.32,14.54,160.6,5,0.08,10.6,34,1,0,1,normal
6,13,0,1,1,22,3,0,0,1,60,91,0,355,0,4,12.51,153.2,3,0.11,3.2,45,2.17,0,0,normal
2,10,1,0,2,13,2,0,14,4,50,50,0,346,3,2.3,14.69,125.5,5,0.05,-24.5,28,5,0,1,normal
6,13,1,0,2,17,3,0,0,1,63,53,0,336,3,3.24,13.15,143.7,11,0.17,-6.3,40,2.17,0,0,normal
4,7,0,0,1,26,2,0,4,2,50,58,0,212,0,1.48,16.81,153.3,10,0.14,3.3,39,1.75,0,0,normal
5,18,0,4,2,17,0,0,15,2,53,73,3,370,2,1.72,16.16,136.8,14,0.11,-13.2,44,3.6,0,0,normal
2,14,0,0,1,19,2,0,19,3,34,32,1,272,5,4,12.9,144.1,6,0.02,-5.9,37,7,0,0,normal
6,11,0,0,0,16,1,0,19,6,41,51,3,440,3,1.22,15.34,159.1,14,-0.02,9.1,34,1.83,0,0,normal
6,9,0,2,0,27,4,0,7,4,56,84,0,302,2,2.32,15.1,157.4,7,0.06,7.4,48,1.5,0,0,normal
8,6,1,3,1,23,1,0,2,3,48,98,0,166,3,1.13,13.27,156.5,2,0.13,6.5,42,0.75,0,0,normal
7,11,0,0,2,21,3,1,11,2,44,96,0,249,5,1.19,13.02,134.9,12,0.17,-15.1,42,1.57,0,0,normal
7,6,0,0,3,24,2,0,0,2,55,75,1,109,1,2.8,10.99,149.6,2,0.09,-0.4,39,0.86,0,0,normal
9,7,0,3,2,23,1,0,18,5,69,91,0,239,1,3.29,14.8,141.9,10,0.15,-8.1,43,0.78,0,0,normal
8,10,0,0,2,17,1,0,14,5,44,74,0,487,1,1.13,15.36,144.9,14,0.08,-5.1,36,1.25,0,0,normal
4,13,0,2,3,23,2,0,3,3,59,31,0,377,0,3.78,13.22,159.9,2,-0.01,9.9,44,3.25,0,0,normal
4,12,0,1,1,18,3,0,19,2,41,55,0,117,7,2.89,13.79,150.6,0,0.18,0.6,38,3,0,0,normal
7,10,0,0,3,15,0,1,9,2,69,65,2,175,2,2.03,14.08,159,6,0.15,9,32,1.43,0,0,normal
4,6,0,1,1,29,1,1,13,1,65,60,0,466,2,3.12,12.73,152,5,0.06,2,41,1.5,0,0,normal
4,8,0,1,2,21,1,0,11,3,50,47,0,313,2,2.35,13.22,158.6,2,0.12,8.6,35,2,0,0,normal
4,10,0,4,1,24,1,0,0,3,37,33,1,451,2,2.7,13.74,150.3,1,0.13,0.3,43,2.5,0,0,normal
3,12,1,2,2,12,0,0,5,2,32,83,1,180,2,1.23,15.93,160.6,14,0.07,10.6,30,4,0,0,normal
3,7,0,3,2,14,3,0,6,4,63,31,2,324,2,1.32,16.12,154.7,4,0.09,4.7,30,2.33,0,0,normal
3,10,1,1,2,21,0,0,0,2,31,41,0,356,1,1.35,12.87,154.9,9,0.13,4.9,36,3.33,0,0,normal
5,8,0,4,3,26,2,0,14,1,50,94,1,113,4,3.91,15.84,152.5,2,0.12,2.5,45,1.6,0,0,normal
3,8,0,0,4,22,2,1,3,2,60,31,2,155,1,2.06,17.96,154.7,13,0.08,4.7,35,2.67,0,0,normal
4,12,0,0,1,19,2,0,1,6,51,88,1,202,3,2.19,15.77,158.6,2,0.06,8.6,37,3,0,0,normal
2,7,0,1,2,19,1,0,2,3,49,58,2,406,2,2.81,15.18,144.2,13,0.07,-5.8,30,3.5,0,0,normal
4,16,0,0,4,23,3,0,14,3,56,42,1,198,1,1.68,12.45,159.1,2,0.1,9.1,46,4,0,0,normal
5,15,0,0,3,18,3,0,4,2,63,66,0,166,2,1.26,16.92,158.7,2,0.03,8.7,41,3,0,0,normal
8,12,1,3,1,19,5,0,15,4,40,32,0,433,0,1.82,15.47,159.5,13,0.06,9.5,48,1.5,0,0,normal
8,11,0,2,1,24,2,0,17,2,39,31,4,264,1,3.93,14.28,156.1,0,0.07,6.1,47,1.38,0,0,normal
4,7,0,0,2,18,0,0,1,2,52,54,1,229,1,1.77,15.84,147,6,0.06,-3,29,1.75,0,0,normal
3,8,0,0,3,18,1,0,14,1,40,84,1,152,3,1.76,13.04,146.8,0,0.05,-3.2,30,2.67,0,0,normal
6,9,1,0,1,23,1,0,12,2,39,45,1,273,0,1.3,15.96,146.4,9,0.05,-3.6,40,1.5,0,0,normal
